accession,chrom,start,end,strand,methylation_percent
ENCFF959WCA,chr8,70629,70630,+,0
ENCFF959WCA,chr8,70630,70631,-,0
ENCFF959WCA,chr8,70667,70668,+,0
ENCFF959WCA,chr8,70668,70669,-,0
ENCFF959WCA,chr8,70672,70673,+,0
ENCFF959WCA,chr8,70673,70674,-,0
ENCFF959WCA,chr8,70702,70703,+,0
ENCFF959WCA,chr8,70703,70704,-,0
ENCFF959WCA,chr8,70717,70718,+,0
ENCFF959WCA,chr8,70718,70719,-,0
ENCFF959WCA,chr8,70728,70729,+,0
ENCFF959WCA,chr8,70729,70730,-,0
ENCFF959WCA,chr8,70758,70759,+,0
ENCFF959WCA,chr8,70759,70760,-,0
ENCFF959WCA,chr8,70794,70795,+,0
ENCFF959WCA,chr8,70795,70796,-,0
ENCFF959WCA,chr8,70818,70819,+,0
ENCFF959WCA,chr8,70819,70820,-,0
ENCFF959WCA,chr8,70858,70859,+,0
ENCFF959WCA,chr8,70859,70860,-,0
ENCFF959WCA,chr8,70888,70889,+,0
ENCFF959WCA,chr8,70889,70890,-,0
ENCFF959WCA,chr8,70935,70936,+,0
ENCFF959WCA,chr8,70936,70937,-,0
ENCFF959WCA,chr8,71161,71162,+,0
ENCFF959WCA,chr8,71162,71163,-,0
ENCFF959WCA,chr8,71175,71176,+,0
ENCFF959WCA,chr8,71176,71177,-,0
ENCFF959WCA,chr8,71192,71193,+,0
ENCFF959WCA,chr8,71193,71194,-,0
ENCFF959WCA,chr8,71537,71538,+,0
ENCFF959WCA,chr8,71538,71539,-,0
ENCFF959WCA,chr8,71563,71564,+,0
ENCFF959WCA,chr8,71564,71565,-,0
ENCFF959WCA,chr8,71649,71650,+,0
ENCFF959WCA,chr8,71650,71651,-,0
ENCFF959WCA,chr8,71702,71703,+,0
ENCFF959WCA,chr8,71703,71704,-,0
ENCFF959WCA,chr8,71814,71815,+,0
ENCFF959WCA,chr8,71815,71816,-,0
ENCFF959WCA,chr8,71823,71824,+,0
ENCFF959WCA,chr8,71824,71825,-,0
ENCFF959WCA,chr8,71847,71848,+,0
ENCFF959WCA,chr8,71848,71849,-,0
ENCFF959WCA,chr8,71864,71865,+,0
ENCFF959WCA,chr8,71865,71866,-,0
ENCFF959WCA,chr8,71883,71884,+,0
ENCFF959WCA,chr8,71884,71885,-,0
ENCFF959WCA,chr8,71902,71903,+,0
ENCFF959WCA,chr8,71903,71904,-,0
ENCFF959WCA,chr8,72503,72504,+,0
ENCFF959WCA,chr8,72504,72505,-,0
ENCFF959WCA,chr8,72553,72554,+,0
ENCFF959WCA,chr8,72554,72555,-,0
ENCFF959WCA,chr8,72562,72563,+,0
ENCFF959WCA,chr8,72563,72564,-,0
ENCFF959WCA,chr8,72564,72565,+,0
ENCFF959WCA,chr8,72565,72566,-,0
ENCFF959WCA,chr8,72568,72569,+,0
ENCFF959WCA,chr8,72569,72570,-,0
ENCFF959WCA,chr8,72602,72603,+,0
ENCFF959WCA,chr8,72603,72604,-,0
ENCFF959WCA,chr8,72631,72632,+,0
ENCFF959WCA,chr8,72632,72633,-,0
ENCFF959WCA,chr8,72643,72644,+,0
ENCFF959WCA,chr8,72644,72645,-,0
ENCFF959WCA,chr8,72662,72663,+,0
ENCFF959WCA,chr8,72663,72664,-,0
ENCFF959WCA,chr8,72702,72703,+,0
ENCFF959WCA,chr8,72703,72704,-,0
ENCFF959WCA,chr8,72783,72784,+,0
ENCFF959WCA,chr8,72784,72785,-,0
ENCFF959WCA,chr8,72798,72799,+,0
ENCFF959WCA,chr8,72799,72800,-,0
ENCFF959WCA,chr8,72804,72805,+,0
ENCFF959WCA,chr8,72805,72806,-,0
ENCFF959WCA,chr8,72821,72822,+,0
ENCFF959WCA,chr8,72822,72823,-,0
ENCFF959WCA,chr8,72823,72824,+,0
ENCFF959WCA,chr8,72824,72825,-,0
ENCFF959WCA,chr8,72883,72884,+,0
ENCFF959WCA,chr8,72884,72885,-,0
ENCFF959WCA,chr8,72906,72907,+,0
ENCFF959WCA,chr8,72907,72908,-,0
ENCFF959WCA,chr8,72948,72949,+,0
ENCFF959WCA,chr8,72949,72950,-,0
ENCFF959WCA,chr8,72982,72983,+,0
ENCFF959WCA,chr8,72983,72984,-,0
ENCFF959WCA,chr8,73065,73066,+,0
ENCFF959WCA,chr8,73066,73067,-,0
ENCFF959WCA,chr8,73205,73206,+,0
ENCFF959WCA,chr8,73206,73207,-,0
ENCFF959WCA,chr8,73230,73231,+,0
ENCFF959WCA,chr8,73231,73232,-,0
ENCFF959WCA,chr8,73338,73339,+,0
ENCFF959WCA,chr8,73339,73340,-,0
ENCFF959WCA,chr8,73344,73345,+,0
ENCFF959WCA,chr8,73345,73346,-,0
ENCFF959WCA,chr8,73375,73376,+,0
ENCFF959WCA,chr8,73376,73377,-,0
ENCFF959WCA,chr8,73395,73396,+,0
ENCFF959WCA,chr8,73396,73397,-,0
ENCFF959WCA,chr8,73399,73400,+,0
ENCFF959WCA,chr8,73400,73401,-,0
ENCFF959WCA,chr8,73416,73417,+,0
ENCFF959WCA,chr8,73417,73418,-,0
ENCFF959WCA,chr8,73630,73631,+,0
ENCFF959WCA,chr8,73631,73632,-,0
ENCFF959WCA,chr8,73714,73715,+,0
ENCFF959WCA,chr8,73715,73716,-,0
ENCFF959WCA,chr8,73719,73720,+,0
ENCFF959WCA,chr8,73720,73721,-,0
ENCFF959WCA,chr8,73733,73734,+,0
ENCFF959WCA,chr8,73734,73735,-,0
ENCFF959WCA,chr8,73770,73771,+,0
ENCFF959WCA,chr8,73771,73772,-,0
ENCFF959WCA,chr8,73806,73807,+,0
ENCFF959WCA,chr8,73807,73808,-,0
ENCFF959WCA,chr8,73822,73823,+,0
ENCFF959WCA,chr8,73823,73824,-,0
ENCFF959WCA,chr8,73977,73978,+,0
ENCFF959WCA,chr8,73978,73979,-,0
ENCFF959WCA,chr8,74357,74358,+,0
ENCFF959WCA,chr8,74358,74359,-,0
ENCFF959WCA,chr8,74550,74551,+,0
ENCFF959WCA,chr8,74551,74552,-,0
ENCFF959WCA,chr8,74651,74652,+,0
ENCFF959WCA,chr8,74652,74653,-,0
ENCFF959WCA,chr8,74655,74656,+,0
ENCFF959WCA,chr8,74656,74657,-,0
ENCFF959WCA,chr8,74728,74729,+,0
ENCFF959WCA,chr8,74729,74730,-,0
ENCFF959WCA,chr8,75057,75058,+,0
ENCFF959WCA,chr8,75058,75059,-,0
ENCFF959WCA,chr8,75166,75167,+,0
ENCFF959WCA,chr8,75167,75168,-,0
ENCFF959WCA,chr8,75219,75220,+,0
ENCFF959WCA,chr8,75220,75221,-,0
ENCFF959WCA,chr8,75228,75229,+,0
ENCFF959WCA,chr8,75229,75230,-,0
ENCFF959WCA,chr8,75250,75251,+,0
ENCFF959WCA,chr8,75251,75252,-,0
ENCFF959WCA,chr8,75294,75295,+,0
ENCFF959WCA,chr8,75295,75296,-,0
ENCFF959WCA,chr8,75355,75356,+,0
ENCFF959WCA,chr8,75356,75357,-,0
ENCFF959WCA,chr8,75361,75362,+,0
ENCFF959WCA,chr8,75362,75363,-,0
ENCFF959WCA,chr8,75371,75372,+,0
ENCFF959WCA,chr8,75372,75373,-,0
ENCFF959WCA,chr8,75493,75494,+,0
ENCFF959WCA,chr8,75494,75495,-,0
ENCFF959WCA,chr8,75503,75504,+,0
ENCFF959WCA,chr8,75504,75505,-,0
ENCFF959WCA,chr8,75573,75574,+,0
ENCFF959WCA,chr8,75574,75575,-,0
ENCFF959WCA,chr8,75580,75581,+,0
ENCFF959WCA,chr8,75581,75582,-,0
ENCFF959WCA,chr8,75587,75588,+,0
ENCFF959WCA,chr8,75588,75589,-,0
ENCFF959WCA,chr8,75663,75664,+,100
ENCFF959WCA,chr8,75664,75665,-,0
ENCFF959WCA,chr8,75667,75668,+,100
ENCFF959WCA,chr8,75668,75669,-,0
ENCFF959WCA,chr8,75669,75670,+,0
ENCFF959WCA,chr8,75670,75671,-,0
ENCFF959WCA,chr8,75712,75713,+,75
ENCFF959WCA,chr8,75713,75714,-,0
ENCFF959WCA,chr8,75716,75717,+,50
ENCFF959WCA,chr8,75717,75718,-,0
ENCFF959WCA,chr8,75737,75738,+,100
ENCFF959WCA,chr8,75738,75739,-,0
ENCFF959WCA,chr8,75768,75769,+,100
ENCFF959WCA,chr8,75769,75770,-,100
ENCFF959WCA,chr8,75810,75811,+,100
ENCFF959WCA,chr8,75811,75812,-,100
ENCFF959WCA,chr8,75833,75834,+,71
ENCFF959WCA,chr8,75834,75835,-,67
ENCFF959WCA,chr8,75855,75856,+,95
ENCFF959WCA,chr8,75856,75857,-,100
ENCFF959WCA,chr8,75873,75874,+,80
ENCFF959WCA,chr8,75874,75875,-,100
ENCFF959WCA,chr8,76052,76053,+,67
ENCFF959WCA,chr8,76053,76054,-,60
ENCFF959WCA,chr8,76083,76084,+,100
ENCFF959WCA,chr8,76084,76085,-,75
ENCFF959WCA,chr8,76099,76100,+,100
ENCFF959WCA,chr8,76100,76101,-,67
ENCFF959WCA,chr8,76109,76110,+,100
ENCFF959WCA,chr8,76110,76111,-,60
ENCFF959WCA,chr8,76134,76135,+,100
ENCFF959WCA,chr8,76135,76136,-,40
ENCFF959WCA,chr8,76154,76155,+,100
ENCFF959WCA,chr8,76155,76156,-,75
ENCFF959WCA,chr8,76200,76201,+,0
ENCFF959WCA,chr8,76201,76202,-,100
ENCFF959WCA,chr8,76316,76317,+,0
ENCFF959WCA,chr8,76317,76318,-,0
ENCFF959WCA,chr8,76335,76336,+,0
ENCFF959WCA,chr8,76336,76337,-,0
ENCFF959WCA,chr8,76337,76338,+,0
ENCFF959WCA,chr8,76338,76339,-,0
ENCFF959WCA,chr8,76365,76366,+,0
ENCFF959WCA,chr8,76366,76367,-,0
ENCFF959WCA,chr8,76409,76410,+,0
ENCFF959WCA,chr8,76410,76411,-,0
ENCFF959WCA,chr8,76502,76503,+,0
ENCFF959WCA,chr8,76503,76504,-,0
ENCFF959WCA,chr8,76507,76508,+,0
ENCFF959WCA,chr8,76508,76509,-,0
ENCFF959WCA,chr8,76542,76543,+,0
ENCFF959WCA,chr8,76543,76544,-,0
ENCFF959WCA,chr8,76752,76753,+,0
ENCFF959WCA,chr8,76753,76754,-,0
ENCFF959WCA,chr8,76922,76923,+,0
ENCFF959WCA,chr8,76923,76924,-,0
ENCFF959WCA,chr8,76939,76940,+,0
ENCFF959WCA,chr8,76940,76941,-,0
ENCFF959WCA,chr8,76954,76955,+,0
ENCFF959WCA,chr8,76955,76956,-,0
ENCFF959WCA,chr8,76975,76976,+,0
ENCFF959WCA,chr8,76976,76977,-,0
ENCFF959WCA,chr8,77003,77004,+,0
ENCFF959WCA,chr8,77004,77005,-,0
ENCFF959WCA,chr8,77052,77053,+,0
ENCFF959WCA,chr8,77053,77054,-,0
ENCFF959WCA,chr8,77160,77161,+,0
ENCFF959WCA,chr8,77161,77162,-,0
ENCFF959WCA,chr8,77176,77177,+,0
ENCFF959WCA,chr8,77177,77178,-,100
ENCFF959WCA,chr8,77201,77202,+,0
ENCFF959WCA,chr8,77202,77203,-,100
ENCFF959WCA,chr8,77277,77278,+,0
ENCFF959WCA,chr8,77278,77279,-,100
ENCFF959WCA,chr8,77285,77286,+,0
ENCFF959WCA,chr8,77286,77287,-,100
ENCFF959WCA,chr8,77338,77339,+,0
ENCFF959WCA,chr8,77339,77340,-,50
ENCFF959WCA,chr8,77466,77467,+,0
ENCFF959WCA,chr8,77467,77468,-,50
ENCFF959WCA,chr8,77479,77480,+,0
ENCFF959WCA,chr8,77480,77481,-,100
ENCFF959WCA,chr8,77563,77564,+,0
ENCFF959WCA,chr8,77564,77565,-,100
ENCFF959WCA,chr8,77686,77687,+,0
ENCFF959WCA,chr8,77687,77688,-,0
ENCFF959WCA,chr8,77727,77728,+,0
ENCFF959WCA,chr8,77728,77729,-,100
ENCFF959WCA,chr8,77735,77736,+,0
ENCFF959WCA,chr8,77736,77737,-,100
ENCFF959WCA,chr8,77748,77749,+,0
ENCFF959WCA,chr8,77749,77750,-,100
ENCFF959WCA,chr8,77899,77900,+,0
ENCFF959WCA,chr8,77900,77901,-,0
ENCFF959WCA,chr8,77913,77914,+,0
ENCFF959WCA,chr8,77914,77915,-,0
ENCFF959WCA,chr8,77926,77927,+,0
ENCFF959WCA,chr8,77927,77928,-,0
ENCFF959WCA,chr8,77953,77954,+,0
ENCFF959WCA,chr8,77954,77955,-,0
ENCFF959WCA,chr8,78139,78140,+,0
ENCFF959WCA,chr8,78140,78141,-,0
ENCFF959WCA,chr8,78145,78146,+,0
ENCFF959WCA,chr8,78146,78147,-,0
ENCFF959WCA,chr8,78344,78345,+,0
ENCFF959WCA,chr8,78345,78346,-,0
ENCFF959WCA,chr8,78354,78355,+,0
ENCFF959WCA,chr8,78355,78356,-,0
ENCFF959WCA,chr8,78386,78387,+,0
ENCFF959WCA,chr8,78387,78388,-,0
ENCFF959WCA,chr8,78419,78420,+,0
ENCFF959WCA,chr8,78420,78421,-,0
ENCFF959WCA,chr8,78446,78447,+,0
ENCFF959WCA,chr8,78447,78448,-,0
ENCFF959WCA,chr8,78533,78534,+,0
ENCFF959WCA,chr8,78534,78535,-,0
ENCFF959WCA,chr8,78689,78690,+,0
ENCFF959WCA,chr8,78690,78691,-,0
ENCFF959WCA,chr8,78707,78708,+,0
ENCFF959WCA,chr8,78708,78709,-,0
ENCFF959WCA,chr8,78722,78723,+,0
ENCFF959WCA,chr8,78723,78724,-,0
ENCFF959WCA,chr8,78750,78751,+,0
ENCFF959WCA,chr8,78751,78752,-,0
ENCFF959WCA,chr8,78885,78886,+,0
ENCFF959WCA,chr8,78886,78887,-,0
ENCFF959WCA,chr8,78935,78936,+,0
ENCFF959WCA,chr8,78936,78937,-,50
ENCFF959WCA,chr8,78944,78945,+,0
ENCFF959WCA,chr8,78945,78946,-,100
ENCFF959WCA,chr8,78962,78963,+,0
ENCFF959WCA,chr8,78963,78964,-,100
ENCFF959WCA,chr8,78965,78966,+,0
ENCFF959WCA,chr8,78966,78967,-,100
ENCFF959WCA,chr8,78979,78980,+,0
ENCFF959WCA,chr8,78980,78981,-,100
ENCFF959WCA,chr8,79022,79023,+,0
ENCFF959WCA,chr8,79023,79024,-,0
ENCFF959WCA,chr8,79044,79045,+,0
ENCFF959WCA,chr8,79045,79046,-,100
ENCFF959WCA,chr8,79110,79111,+,0
ENCFF959WCA,chr8,79111,79112,-,0
ENCFF959WCA,chr8,79128,79129,+,0
ENCFF959WCA,chr8,79129,79130,-,0
ENCFF959WCA,chr8,79320,79321,+,0
ENCFF959WCA,chr8,79321,79322,-,0
ENCFF959WCA,chr8,79344,79345,+,0
ENCFF959WCA,chr8,79345,79346,-,0
ENCFF959WCA,chr8,79365,79366,+,0
ENCFF959WCA,chr8,79366,79367,-,0
ENCFF959WCA,chr8,79556,79557,+,0
ENCFF959WCA,chr8,79557,79558,-,0
ENCFF959WCA,chr8,79568,79569,+,0
ENCFF959WCA,chr8,79569,79570,-,0
ENCFF959WCA,chr8,79576,79577,+,0
ENCFF959WCA,chr8,79577,79578,-,0
ENCFF959WCA,chr8,79638,79639,+,0
ENCFF959WCA,chr8,79639,79640,-,0
ENCFF959WCA,chr8,79680,79681,+,0
ENCFF959WCA,chr8,79681,79682,-,0
ENCFF959WCA,chr8,79778,79779,+,0
ENCFF959WCA,chr8,79779,79780,-,100
ENCFF959WCA,chr8,79883,79884,+,0
ENCFF959WCA,chr8,79884,79885,-,100
ENCFF959WCA,chr8,79900,79901,+,0
ENCFF959WCA,chr8,79901,79902,-,100
ENCFF959WCA,chr8,79927,79928,+,0
ENCFF959WCA,chr8,79928,79929,-,100
ENCFF959WCA,chr8,80121,80122,+,33
ENCFF959WCA,chr8,80122,80123,-,0
ENCFF959WCA,chr8,80152,80153,+,60
ENCFF959WCA,chr8,80153,80154,-,0
ENCFF959WCA,chr8,80157,80158,+,60
ENCFF959WCA,chr8,80158,80159,-,0
ENCFF959WCA,chr8,80206,80207,+,36
ENCFF959WCA,chr8,80207,80208,-,0
ENCFF959WCA,chr8,80217,80218,+,100
ENCFF959WCA,chr8,80218,80219,-,0
ENCFF959WCA,chr8,80243,80244,+,100
ENCFF959WCA,chr8,80244,80245,-,0
ENCFF959WCA,chr8,80248,80249,+,100
ENCFF959WCA,chr8,80249,80250,-,0
ENCFF959WCA,chr8,80258,80259,+,100
ENCFF959WCA,chr8,80259,80260,-,0
ENCFF959WCA,chr8,80283,80284,+,0
ENCFF959WCA,chr8,80284,80285,-,0
ENCFF959WCA,chr8,80352,80353,+,0
ENCFF959WCA,chr8,80353,80354,-,100
ENCFF959WCA,chr8,80448,80449,+,0
ENCFF959WCA,chr8,80449,80450,-,100
ENCFF959WCA,chr8,80455,80456,+,0
ENCFF959WCA,chr8,80456,80457,-,100
ENCFF959WCA,chr8,80489,80490,+,100
ENCFF959WCA,chr8,80490,80491,-,100
ENCFF959WCA,chr8,80523,80524,+,100
ENCFF959WCA,chr8,80524,80525,-,100
ENCFF959WCA,chr8,80535,80536,+,100
ENCFF959WCA,chr8,80536,80537,-,100
ENCFF959WCA,chr8,80543,80544,+,100
ENCFF959WCA,chr8,80544,80545,-,83
ENCFF959WCA,chr8,80553,80554,+,100
ENCFF959WCA,chr8,80554,80555,-,83
ENCFF959WCA,chr8,80578,80579,+,100
ENCFF959WCA,chr8,80579,80580,-,86
ENCFF959WCA,chr8,80583,80584,+,100
ENCFF959WCA,chr8,80584,80585,-,86
ENCFF959WCA,chr8,80609,80610,+,100
ENCFF959WCA,chr8,80610,80611,-,100
ENCFF959WCA,chr8,80645,80646,+,80
ENCFF959WCA,chr8,80646,80647,-,38
ENCFF959WCA,chr8,80663,80664,+,50
ENCFF959WCA,chr8,80664,80665,-,100
ENCFF959WCA,chr8,80666,80667,+,50
ENCFF959WCA,chr8,80667,80668,-,83
ENCFF959WCA,chr8,80873,80874,+,0
ENCFF959WCA,chr8,80874,80875,-,0
ENCFF959WCA,chr8,80913,80914,+,0
ENCFF959WCA,chr8,80914,80915,-,0
ENCFF959WCA,chr8,80938,80939,+,0
ENCFF959WCA,chr8,80939,80940,-,0
ENCFF959WCA,chr8,81042,81043,+,0
ENCFF959WCA,chr8,81043,81044,-,0
ENCFF959WCA,chr8,81144,81145,+,100
ENCFF959WCA,chr8,81145,81146,-,0
ENCFF959WCA,chr8,81150,81151,+,100
ENCFF959WCA,chr8,81151,81152,-,0
ENCFF959WCA,chr8,81156,81157,+,100
ENCFF959WCA,chr8,81157,81158,-,0
ENCFF959WCA,chr8,81254,81255,+,0
ENCFF959WCA,chr8,81255,81256,-,0
ENCFF959WCA,chr8,81258,81259,+,0
ENCFF959WCA,chr8,81259,81260,-,0
ENCFF959WCA,chr8,81293,81294,+,100
ENCFF959WCA,chr8,81294,81295,-,0
ENCFF959WCA,chr8,81305,81306,+,100
